Form__File,Filed,Filing_entityperson
SC 13G (Beneficial ownership report) ,2024-12-06,"Two Roads Shared Trust  FOUNDATIONS INVESTMENT ADVISORS, LLC "
SC 13G (Beneficial ownership report) ,2024-12-06,Advisors' Inner Circle Fund III  BROWN ADVISORY INC 
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Cabaletta Bio, Inc.  (CABA)  ALGER ASSOCIATES INC "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Spirit Airlines, Inc.  (SAVEQ)  BlackRock, Inc. "
SC 13G (Beneficial ownership report) ,2024-12-06,"Guardian Pharmacy Services, Inc.  (GRDN)  BROWN ADVISORY INC "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,EXPRO GROUP HOLDINGS N.V.  (XPRO)  FMR LLC 
SC 13G/A (Beneficial ownership report) ,2024-12-06,"ShoulderUP Technology Acquisition Corp.  (SUAC, SUACU, SUACW)  Polar Asset Management Partners Inc. "
SC 13D/A (Beneficial ownership report) ,2024-12-06,"Caribou Biosciences, Inc.  (CRBU)  Haurwitz Rachel E. "
SC 13D/A (Beneficial ownership report) ,2024-12-06,Opera Ltd  (OPRA)  Zhou Yahui 
SC 13G (Beneficial ownership report) ,2024-12-06,"Hyatt Hotels Corp  (H)  BlackRock, Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,BlackRock Energy & Resources Trust  (BGR)  CITY OF LONDON INVESTMENT MANAGEMENT CO LTD 
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Aquaron Acquisition Corp.  (AQU, AQUNR, AQUNU)  Walleye Capital LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-06,INNOVATIVE FOOD HOLDINGS INC  (IVFH)  Bandera Partners LLC 
SC 13G/A (Beneficial ownership report) ,2024-12-06,Texas Pacific Land Corp  (TPL)  VANGUARD GROUP INC 
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,INTERCONTINENTAL HOTELS GROUP PLC /NEW/  (IHG)  FMR LLC 
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,Tecnoglass Inc.  (TGLS)  FMR LLC 
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,"Oncology Institute, Inc.  (TOI, DFPH, TOIIW)  FMR LLC "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,Primo Water Corp /CN/  FMR LLC 
SC 13D (Beneficial ownership report) ,2024-12-06,"Zeo Energy Corp.  (ZEO, ZEOWW)  LHX Intermediate, LLC "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,"Nuvation Bio Inc.  (NUVB, NUVB-WT)  FMR LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"WORKIVA INC  (WK)  BlackRock, Inc. "
SC 13D (Beneficial ownership report) ,2024-12-06,Shepherd Ave Capital Acquisition Corp  (SPHA)  Aitefund Sponsor LLC 
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Swiftmerge Acquisition Corp.  (IVCP, IVCPU, IVCPW)  METEORA CAPITAL, LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"iShares, Inc.  BlackRock, Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"CHAIN BRIDGE BANCORP INC  (CBNA)  Nuveen Asset Management, LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-06,PSYCHEMEDICS CORP  (PMD)  POWELL ANDERSON CAPITAL LP 
SC 13D/A (Beneficial ownership report) ,2024-12-06,BARNWELL INDUSTRIES INC  (BRN)  SHERWOOD NED L 
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Forte Biosciences, Inc.  (FBRX)  ALGER ASSOCIATES INC "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Gorilla Technology Group Inc.  (GRRR, GRRRW)  SBI AI&Blockchain Investment LPS "
SC 13G/A (Beneficial ownership report) ,2024-12-06,QuidelOrtho Corp  (QDEL)  VANGUARD GROUP INC 
SC 13G/A (Beneficial ownership report) ,2024-12-06,Celanese Corp  (CE)  DODGE & COX 
SC 13G (Beneficial ownership report) ,2024-12-06,"Revelyst, Inc.  (GEAR)  BlackRock, Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"iSHARES TRUST  BlackRock, Inc. "
SC 13G (Beneficial ownership report) ,2024-12-06,"FIRST TRUST EXCHANGE-TRADED FUND VIII  FOUNDATIONS INVESTMENT ADVISORS, LLC "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,Bridge Investment Group Holdings Inc.  (BRDG)  FMR LLC 
SC 13D/A (Beneficial ownership report) ,2024-12-06,"Bridgewater Bancshares Inc  (BWB, BWBBP)  Castle Creek Capital Partners VIII, LP "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,"ARDELYX, INC.  (ARDX)  JANUS HENDERSON GROUP PLC "
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,CREDIT ACCEPTANCE CORP  (CACC)  Donald A. Foss 2009 Annuity Trust 
SC 13G/A (Beneficial ownership report) ,2024-12-06,"SIERRA BANCORP  (BSRR)  BlackRock, Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Credo Technology Group Holding Ltd  (CRDO)  BlackRock, Inc. "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,"Nurix Therapeutics, Inc.  (NRIX)  FMR LLC "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,CHAIN BRIDGE BANCORP INC  (CBNA)  ALLIANCEBERNSTEIN L.P. 
SC 13G/A (Beneficial ownership report) ,2024-12-06,THUMZUP MEDIA Corp  (TZUP)  THOMAS JOE D 
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Denali Capital Acquisition Corp.  (DECA, DECAU, DECAW)  METEORA CAPITAL, LLC "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,MAYS J W INC  (MAYS)  Fowler Amy Goldman 
SC 13G/A (Beneficial ownership report) ,2024-12-06,"ASHLAND INC.  (ASH)  BlackRock, Inc. "
SC 13G (Beneficial ownership report) ,2024-12-06,"AZUL SA  (AZUL)  Long Focus Capital Management, LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"HARTFORD FINANCIAL SERVICES GROUP, INC.  (HIG, HIG-PG)  BlackRock, Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Progyny, Inc.  (PGNY)  VANGUARD GROUP INC "
SC 13D/A (Beneficial ownership report) ,2024-12-06,"BigBear.ai Holdings, Inc.  (BBAI, BBAI-WT)  BBAI Ultimate Holdings, LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"BlackRock ETF Trust II  BlackRock, Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,DENTSPLY SIRONA Inc.  (XRAY)  VANGUARD GROUP INC 
SC 13G/A (Beneficial ownership report) ,2024-12-06,"PINTEREST, INC.  (PINS)  VANGUARD GROUP INC "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"4D Molecular Therapeutics, Inc.  (FDMT)  BlackRock, Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Healthcare AI Acquisition Corp.  (HAIA, HAIAU, HAIAW)  METEORA CAPITAL, LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-06,"Independence Contract Drilling, Inc.  (ICDI)  MSD Partners, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-06,"IBEX Ltd  (IBEX)  PineBridge GEM II G.P., L.P. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"CADIZ INC  (CDZI, CDZIP)  Whitefort Capital Management, LP "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Exchange Listed Funds Trust  FOUNDATIONS INVESTMENT ADVISORS, LLC "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,"SPORTSMAN'S WAREHOUSE HOLDINGS, INC.  (SPWH)  FMR LLC "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,"Altice USA, Inc.  (ATUS)  FMR LLC "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,Kosmos Energy Ltd.  (KOS)  FMR LLC 
SC 13G/A (Beneficial ownership report) ,2024-12-06,"REV Group, Inc.  (REVG)  VANGUARD GROUP INC "
SC 13G (Beneficial ownership report) ,2024-12-06,"Alector, Inc.  (ALEC)  RA CAPITAL MANAGEMENT, L.P. "
SC 13D (Beneficial ownership report) ,2024-12-06,HARTE HANKS INC  (HHS)  Radoff Bradley Louis 
SC 13G/A (Beneficial ownership report) ,2024-12-06,Benitec Biopharma Inc.  (BNTC)  JANUS HENDERSON GROUP PLC 
SC 13G (Beneficial ownership report) ,2024-12-06,AB Private Lending Fund  Equitable Financial Life Insurance Co 
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Western Asset Investment Grade Opportunity Trust Inc.  (IGI)  Karpus Management, Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"MYERS INDUSTRIES INC  (MYE)  BlackRock, Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"ILLUMINA, INC.  (ILMN)  VANGUARD GROUP INC "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"MGP INGREDIENTS INC  (MGPI)  BlackRock, Inc. "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,ALX ONCOLOGY HOLDINGS INC  (ALXO)  FMR LLC 
SC 13G/A (Beneficial ownership report) ,2024-12-06,"FIRST BUSINESS FINANCIAL SERVICES, INC.  (FBIZ)  BlackRock, Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"GENERAL MILLS INC  (GIS)  BlackRock, Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"CROWN CASTLE INC.  (CCI)  BlackRock, Inc. "
SC 13D/A (Beneficial ownership report) ,2024-12-06,"Shattuck Labs, Inc.  (STTK)  Redmile Group, LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"TMT Acquisition Corp.  (TMTC, TMTCR, TMTCU)  Karpus Management, Inc. "
SC 13G (Beneficial ownership report) ,2024-12-06,"Fulcrum Therapeutics, Inc.  (FULC)  BlackRock, Inc. "
SC 13G (Beneficial ownership report) ,2024-12-06,"First Internet Bancorp  (INBK, INBKZ)  BlackRock, Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"CONAGRA BRANDS INC.  (CAG)  BlackRock, Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"FAIR ISAAC CORP  (FICO)  BlackRock, Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"AKAMAI TECHNOLOGIES INC  (AKAM)  BlackRock, Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Red Cat Holdings, Inc.  (RCAT)  AWM Investment Company, Inc. "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,"PIERIS PHARMACEUTICALS, INC.  (PIRS)  Dellora Investments LP "
SC 13D/A (Beneficial ownership report) ,2024-12-06,"PROVECTUS BIOPHARMACEUTICALS, INC.  (PVCT)  Pershing Edward "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Two Roads Shared Trust  FOUNDATIONS INVESTMENT ADVISORS, LLC "
SC 13G (Beneficial ownership report) ,2024-12-06,"Spirit Airlines, Inc.  (SAVEQ)  ETF Series Solutions "
SC 13D/A (Beneficial ownership report) ,2024-12-06,"Tyra Biosciences, Inc.  (TYRA)  Boxer Capital Management, LLC "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,Blue Bird Corp  (BLBD)  FMR LLC 
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Carmell Corp  (CTCX, CTCXW)  METEORA CAPITAL, LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Citi Trends Inc  (CTRN)  AWM Investment Company, Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Global Technology Acquisition Corp. I  METEORA CAPITAL, LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Thermon Group Holdings, Inc.  (THR)  VANGUARD GROUP INC "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Fortune Rise Acquisition Corp  (FRLA, FRLAU, FRLAW)  Lighthouse Investment Partners, LLC "
SC 13G (Beneficial ownership report) ,2024-12-06,"Concentra Group Holdings Parent, Inc.  (CON)  BlackRock, Inc. "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,"agilon health, inc.  (AGL)  FMR LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Beam Global  (BEEM)  AWM Investment Company, Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"APPFOLIO INC  (APPF)  BlackRock, Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,Voya Emerging Markets High Dividend Equity Fund  (IHD)  CITY OF LONDON INVESTMENT MANAGEMENT CO LTD 
SC 13G/A (Beneficial ownership report) ,2024-12-06,SecureWorks Corp  (SCWX)  Gagnon Neil 
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,"Cyclerion Therapeutics, Inc.  (CYCN)  Slate Path Capital LP "
SC 13D/A (Beneficial ownership report) ,2024-12-06,Viant Technology Inc.  (DSP)  MADDEN LARRY 
SC 13D (Beneficial ownership report) ,2024-12-06,Quality Industrial Corp.  (QIND)  Fusion Fuel Green PLC 
SC 13G/A (Beneficial ownership report) ,2024-12-06,Magnera Corp  (MAGN)  VANGUARD GROUP INC 
SC 13G/A (Beneficial ownership report) ,2024-12-06,"WOLFSPEED, INC.  (WOLF)  Capital International Investors "
SC 13D/A (Beneficial ownership report) ,2024-12-06,"Independence Contract Drilling, Inc.  (ICDI)  Glendon Capital Management LP "
SC 13G/A (Beneficial ownership report) ,2024-12-06,Voya Asia Pacific High Dividend Equity Income Fund  (IAE)  CITY OF LONDON INVESTMENT MANAGEMENT CO LTD 
SC 13G/A (Beneficial ownership report) ,2024-12-06,"SYNCHRONOSS TECHNOLOGIES INC  (SNCR, SNCRL)  AWM Investment Company, Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"OptimizeRx Corp  (OPRX)  AWM Investment Company, Inc. "
SC 13D/A (Beneficial ownership report) ,2024-12-06,"NEXTNAV INC.  (NN, NNAVW, NXNVW)  Columbia Capital IV, LLC "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,"ARCH RESOURCES, INC.  (ARCH)  FMR LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Blue Ocean Acquisition Corp  (BOCN, BOCNU, BOCNW)  METEORA CAPITAL, LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Mountain Crest Acquisition Corp. V  (MCAG, MCAGR, MCAGU)  METEORA CAPITAL, LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"DEXCOM INC  (DXCM)  BlackRock, Inc. "
SC 13D/A (Beneficial ownership report) ,2024-12-06,Clarion Partners Real Estate Income Fund Inc.  (CPRDX)  FRANKLIN RESOURCES INC 
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,"TransMedics Group, Inc.  (TMDX)  FMR LLC "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-06,Concentrix Corp  (CNXC)  FMR LLC 
SC 13D/A (Beneficial ownership report) ,2024-12-06,"Calamos Long/Short Equity & Dynamic Income Trust  (CPZ)  Saba Capital Management, L.P. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Everus Construction Group, Inc.  (ECG)  VANGUARD GROUP INC "
SC 13D/A (Beneficial ownership report) ,2024-12-06,"InfuSystem Holdings, Inc  (INFU)  Shuda Scott "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Dream Finders Homes, Inc.  (DFH)  BlackRock, Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-06,"Distoken Acquisition Corp  (DIST, DISTR, DISTW)  METEORA CAPITAL, LLC "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-05,"e.l.f. Beauty, Inc.  (ELF)  BAILLIE GIFFORD & CO "
SC 13G/A (Beneficial ownership report) ,2024-12-05,CIMG Inc.  (IMG)  Yang Yalan 
SC 13G (Beneficial ownership report) ,2024-12-05,"SCWorx Corp.  (WORX)  Iroquois Capital Management, LLC "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-05,VivoPower International PLC  (VVPR)  Corley Thomas John 
SC 13D/A (Beneficial ownership report) ,2024-12-05,"Frontier Communications Parent, Inc.  (FYBR)  ARES MANAGEMENT LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-05,"Cabaletta Bio, Inc.  (CABA)  PRUDENTIAL FINANCIAL INC "
SC 13G/A (Beneficial ownership report) ,2024-12-05,"DoubleLine ETF Trust  FOUNDATIONS INVESTMENT ADVISORS, LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-05,"BriaCell Therapeutics Corp.  (BCTX, BCTXW)  L5 Capital Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-05,"ICF International, Inc.  (ICFI)  WASATCH ADVISORS LP "
SC 13G/A (Beneficial ownership report) ,2024-12-05,"Floor & Decor Holdings, Inc.  (FND)  Capital Research Global Investors "
SC 13G (Beneficial ownership report) ,2024-12-05,"NewGenIvf Group Ltd  (NIVF, NIVFW)  White Lion Capital LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-05,"Cabaletta Bio, Inc.  (CABA)  JENNISON ASSOCIATES LLC "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-05,"Marpai, Inc.  (MRAI)  Intelligent Fanatics Capital Management LLC "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-05,"Coursera, Inc.  (COUR)  BAILLIE GIFFORD & CO "
SC 13G/A (Beneficial ownership report) ,2024-12-05,CIMG Inc.  (IMG)  Liu Yujie 
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-05,Franklin Templeton ETF Trust  TRUIST FINANCIAL CORP 
SC 13G/A (Beneficial ownership report) ,2024-12-05,"Exchange Listed Funds Trust  FOUNDATIONS INVESTMENT ADVISORS, LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-05,"Research Solutions, Inc.  (RSSS)  Cove Street Capital, LLC "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-05,iSHARES TRUST  Bank of New York Mellon Corp 
SC 13G (Beneficial ownership report) ,2024-12-05,"Rigetti Computing, Inc.  (RGTI, RGTIW)  CVI Investments, Inc. "
SC 13G/A (Beneficial ownership report) ,2024-12-05,"Innovator ETFs Trust  FOUNDATIONS INVESTMENT ADVISORS, LLC "
SCHEDULE 13D (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-05,"Hartford Creative Group, Inc.  (HFUS)  Songwang Erin "
SC 13D/A (Beneficial ownership report) ,2024-12-05,CHEETAH NET SUPPLY CHAIN SERVICE INC.  (CTNT)  Liu Huan 
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-05,"TENAX THERAPEUTICS, INC.  (TENX)  Dellora Investments LP "
SC 13G/A (Beneficial ownership report) ,2024-12-05,"REZOLVE AI Ltd  (RZLV, RZLVW)  Wagner Cocoa "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-05,Victory Portfolios II  TRUIST FINANCIAL CORP 
SC 13G/A (Beneficial ownership report) ,2024-12-05,"Two Roads Shared Trust  FOUNDATIONS INVESTMENT ADVISORS, LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-05,"ALBEMARLE CORP  (ALB, ALB-PA)  Capital World Investors "
SC 13D/A (Beneficial ownership report) ,2024-12-05,MAYS J W INC  (MAYS)  GOLDMAN JANE H 
SC 13D/A (Beneficial ownership report) ,2024-12-05,PURE CYCLE CORP  (PCYO)  Plaisance Capital LLC 
SC 13G (Beneficial ownership report) ,2024-12-05,"ILLUMINA, INC.  (ILMN)  Capital World Investors "
SC 13G/A (Beneficial ownership report) ,2024-12-05,"CLARIVATE PLC  (CLVT)  Clarkston Capital Partners, LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-05,"Accelerate Diagnostics, Inc  (AXDX)  SCHULER JACK W "
SC 13G/A (Beneficial ownership report) ,2024-12-05,CIMG Inc.  (IMG)  Chen Yanqin 
SC 13G/A (Beneficial ownership report) ,2024-12-05,"HARROW, INC.  (HROW, HROWL, HROWM)  Kaufman Daniel Louis "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-05,FIRST TRUST EXCHANGE-TRADED FUND VIII  TRUIST FINANCIAL CORP 
SC 13G (Beneficial ownership report) ,2024-12-05,"Revelyst, Inc.  GLAZER CAPITAL, LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-05,StepStone Group Inc.  (STEP)  Brem Monte M 
SC 13D (Beneficial ownership report) ,2024-12-05,"Global Blue Group Holding AG  (GB, GB-WT)  ANT INTERNATIONAL (CAYMAN) HOLDING LTD "
SC 13G (Beneficial ownership report) ,2024-12-05,"Greenwave Technology Solutions, Inc.  (GWAV)  SEG Opportunity Fund, LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-05,"P10, Inc.  (PX)  210 Capital, LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-05,"Inspired Entertainment, Inc.  (INSE)  PRIVATE MANAGEMENT GROUP INC "
SC 13G/A (Beneficial ownership report) ,2024-12-05,THUMZUP MEDIA Corp  (TZUP)  THOMAS JOE D 
SCHEDULE 13D (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-05,"Hartford Creative Group, Inc.  (HFUS)  Chang Sheng-Yih "
SC 13D/A (Beneficial ownership report) ,2024-12-05,"Global Blue Group Holding AG  (GB, GB-WT)  Antfin (Hong Kong) Holding Ltd "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-05,"BioRestorative Therapies, Inc.  (BRTX)  Morrison Todd Hale "
SC 13G/A (Beneficial ownership report) ,2024-12-05,iCoreConnect Inc.  (ICCT)  PERISCOPE CAPITAL INC. 
SC 13G/A (Beneficial ownership report) ,2024-12-05,Celanese Corp  (CE)  Capital Research Global Investors 
SC 13D/A (Beneficial ownership report) ,2024-12-05,PSYCHEMEDICS CORP  (PMD)  Kamin Peter 
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-05,"Adaptimmune Therapeutics PLC  (ADAP)  Matrix Capital Management Company, LP "
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-05,Crypto Co  (CRCW)  URAM MARK ANDREW 
SC 13G/A (Beneficial ownership report) ,2024-12-05,CIMG Inc.  (IMG)  Perez Dai Dixon 
SC 13D/A (Beneficial ownership report) ,2024-12-05,"loanDepot, Inc.  (LDI)  Hsieh Anthony Li "
SC 13G/A (Beneficial ownership report) ,2024-12-05,"FIRST TRUST EXCHANGE-TRADED ALPHADEX FUND II  FOUNDATIONS INVESTMENT ADVISORS, LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-05,Brenmiller Energy Ltd.  (BNRG)  ALPHA CAPITAL ANSTALT 
SC 13G/A (Beneficial ownership report) ,2024-12-05,TopBuild Corp  (BLD)  Capital Research Global Investors 
SC 13G (Beneficial ownership report) ,2024-12-05,"Coliseum Acquisition Corp.  (MITA, MITAU, MITAW)  COWEN AND COMPANY, LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-05,"Wheeler Real Estate Investment Trust, Inc.  (WHLR, WHLRD, WHLRL, WHLRP)  MAGNOLIA CAPITAL FUND, LP "
SC 13G (Beneficial ownership report) ,2024-12-05,Sunrise Communications AG  (SNRE)  BAUPOST GROUP LLC/MA 
SC 13D/A (Beneficial ownership report) ,2024-12-05,"Alight, Inc. / Delaware  (ALIT)  Cannae Holdings, Inc. "
SC 13D/A (Beneficial ownership report) ,2024-12-05,"Rocket Lab USA, Inc.  (RKLB)  Beck Peter "
SC 13G (Beneficial ownership report) ,2024-12-05,"Kura Oncology, Inc.  (KURA)  RA CAPITAL MANAGEMENT, L.P. "
SC 13G/A (Beneficial ownership report) ,2024-12-05,"WOLFSPEED, INC.  (WOLF)  Capital Research Global Investors "
SC 13G/A (Beneficial ownership report) ,2024-12-05,"CENOVUS ENERGY INC.  (CVE, CNVEF, CVE-WT)  Capital World Investors "
SC 13G (Beneficial ownership report) ,2024-12-04,"ArriVent BioPharma, Inc.  (AVBP)  SUVRETTA CAPITAL MANAGEMENT, LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-04,Orgenesis Inc.  (ORGS)  Safier Jacob 
SC 13D/A (Beneficial ownership report) ,2024-12-04,"Olema Pharmaceuticals, Inc.  (OLMA)  BIOTECHNOLOGY VALUE FUND L P "
SC 13G (Beneficial ownership report) ,2024-12-04,"InspireMD, Inc.  (NSPR)  Nantahala Capital Partners Limited Partnership "
SC 13D/A (Beneficial ownership report) ,2024-12-04,"United Health Products, Inc.  (UEEC)  BEPLATE DOUGLAS K "
SC 13D (Beneficial ownership report) ,2024-12-04,"SURO CAPITAL CORP.  (SSSS, SSSSL)  Klein Mark D "
SC 13D/A (Beneficial ownership report) ,2024-12-04,Invesco Pennsylvania Value Municipal Income Trust  (VPV)  BANK OF AMERICA CORP /DE/ 
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-04,"FLOWSERVE CORP  (FLS)  Beutel, Goodman & Co Ltd. "
SC 13G/A (Beneficial ownership report) ,2024-12-04,"Glimpse Group, Inc.  (VRAR)  Ferrari Braden "
SC 13D (Beneficial ownership report) ,2024-12-04,"Andretti Acquisition Corp. II  (POLE, POLEU, POLEW)  Andretti Sponsor II LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-04,"Senti Biosciences, Inc.  (SNTI)  New Enterprise Associates 15, L.P. "
SC 13G (Beneficial ownership report) ,2024-12-04,"TriSalus Life Sciences, Inc.  (TLSI, TLSIW)  PALLOTTA JAMES J "
SC 13D/A (Beneficial ownership report) ,2024-12-04,"RED ROBIN GOURMET BURGERS INC  (RRGB)  JCP Investment Management, LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-04,"Invesco Municipal Opportunity Trust  (VMO)  Saba Capital Management, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-04,MP Materials Corp. / DE  (MP)  Litinsky James H. 
